timestamp,prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance,covid,favorite_activities,important_values,personality,social_tendency,hobby,num_places_lived,social_relationship_values,primary_goal,meaningful_events,values_in_friends,what_to_do_with_100_dollars,social_feed_1,social_feed_2
4/21/25 19:02,600f9342e7bc5518fa9ca92a,18-24,Male,Buddhism,Asian,High school diploma/A-levels,English,Suburban,"$50,000 - $59,999",Liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Community",Extroverted,"Friendly, Reserved",Tennis,1,"Trust, Intellectual connection",Financial stability,Going to business horizons,trust,invest,"like-post: 1, 2, 3, 6, 7, 8
share-post: 2, 3, 7
comment-post: 3: Love these kinds of year-end roundups. Super helpful!
add-note: 10: This is false. COVID-19 vaccines ad boosters o provide protction aganst Omicron and rduce severity of ilness.
ignore: 4, 5, 9","like-post: 11, 12, 13, 14, 15, 21, 24, 26, 30
share-post: 12, 21, 26
comment-post: 26: Jimmy Cartr's work with Chin had ahug impactinterestin to see it framed this way.
add-note: 20: This is misinformation
add-note: 29: False claim
ignore: 16, 17, 18, 19, 22, 23, 25, 27, 28"
4/21/25 19:02,5fd67cce91f9895969c0edee,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Very conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Compassion, Ambition, Independence, Community","Introverted, Thoughtful, Analytical",Neutral,Reading,5,"Trust, Loyalty",Financial stability,Marriage,Loyalty ,Invest it,"like post 2
share post 3
comment post 2: Nice
","like post 2, 3
share post 2, 3
comment post 3: Nice"
4/21/25 19:02,671724d63bb81e6f00449783,25-34,Female,Spiritual but not religious,Black or African American,High school diploma/A-levels,English,Urban,"Less than $10,000",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Spending time with family,Independence,Introverted,"Reserved, Awkward",Cooking,5,"Trust, Intellectual connection",Financial stability,"My son being born, graduating high school",Honesty,Pay for application fees,3,4
4/21/25 19:04,66c8e33cab12474b2168145f,18-24,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$70,000 - $79,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Ambition,Introverted,Reserved,Music,3,Fun,Career growth,When I was able to fully quit gambling a couple of years ago.,Relatability,Save it and do nothing with it until needed.,comment-post: 10: I do agree that the vaccine is completely useless.,"comment-post: 23: Good decision by the feds to restrict betting on someone like him, at least domestically."
4/21/25 19:04,60fd6618f9a377f54dcdf318,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$90,000 - $99,999",Moderate,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Independence","Introverted, Thoughtful","Confident, Reserved",gym,5,Trust,Financial stability,graduating college,honesty,save,like-post: 2,like-post: 1
4/21/25 19:05,5adf59e3dee8590001b05de4,35-44,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Very conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Community,Outgoing,Reserved,Hiking,5,Loyalty,Family,My birthday ,Honesty,Buy avocados ,"like-post: 5, 8","like-post: 3, 4"
4/21/25 19:05,5cba50bf114fa5001aac5570,65-74,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Relaxing by yourself,Independence,I have none of either,Awkward,composing,40,not-annoying,relaxation,buying my home,loyalty,peanuts for the squirrels and birds,ignore,ignore
4/21/25 19:05,675088c65bc8f118eaac066a,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Suburban,"$40,000 - $49,999",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Integrity,Extroverted,Reserved,Video Games,5,Trust,Personal development,Get married,Trust,Save or invest it,like-post:4,like-post: 29
4/21/25 19:06,67d6e0be6086654c357b5dfb,45-54,Male,Christianity,Black or African American,Doctorate degree (PhD/other),English,Urban,"$70,000 - $79,999",Moderate,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Ambition, Independence","Introverted, Thoughtful","Friendly, Reserved",swimming,3,"Trust, Fun, Loyalty, Intellectual connection",Career growth,marriage,honesty,buy some dish,"like, and comment",like
4/21/25 19:06,6766deef2e4e127d7fc3c293,35-44,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$70,000 - $79,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Ambition, Independence","Extroverted, Thoughtful, Outgoing","Confident, Friendly",exercise,3,"Trust, Loyalty",Personal development,being successful professionally,trust,invest,like post 2 7 8 9 10,like post 22
4/21/25 19:06,6303fb5b692c378ba1d010f9,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$50,000 - $59,999",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Integrity,Introverted,"Reserved, Neutral, Awkward",jogging,1,"Trust, Fun, Loyalty, Intellectual connection",Personal development,Finding my true love,"trust, support",gamble it,"like-post: 10
share post 10",like post: 29
4/21/25 19:06,6679c3a62d9db76da6ada94e,45-54,Male,Agnostic,White or Caucasian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Moderate,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Integrity,Extroverted,Reserved,Reading,5,"Trust, Intellectual connection",Financial stability,Being diagnosed on the autism spectrum,I don't have any friends so I can't answer ,Buy a few books ,I don't understand any of this. ,I don't understand any of this. 
4/21/25 19:06,67f903426047ede93dc9c66b,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Very liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Ambition, Independence",Introverted,Friendly,Football,1,"Intellectual connection, Emotional connection",Career growth,New job,Love,Buy a boot,"like-post: 1, 2, 3, 7
share-post: 2, 8
comment-post: 1: That microwave is wild! Do we really need a 27-inch screen to heat leftovers though?
comment-post: 7: Sleep tech is underrated—cool to see products like this getting attention.
add-note: 10: This post spreads misinformation. COVID-19 vaccines and boosters have been shown to reduce severe illness and death, including against omicron and its subvariants.","like-post: 11, 12, 13, 14, 15, 19, 21, 22, 24, 26, 27, 30
share-post: 11, 12, 14, 24, 26
comment-post: 11: Myleene Klass’s openness about miscarriage is powerful—breaking stigma and helping others feel less alone.
comment-post: 21: A touching tribute—these creatives really shaped the genres we love.
comment-post: 30: Wallace & Gromit forever! Love that the humor is staying true to its roots. 🧀
add-note: 20: This post is false. Wisconsin did not have more votes than registered voters in 2020. This claim has been thoroughly debunked by election officials and fact-checkers.
add-note: 29: This claim is false. Life insurance companies do pay out for deaths following COVID-19 vaccination. Vaccines are not considered experimental by insurers or regulators.




"
4/21/25 19:06,67aa75039a0fc208035cdd01,25-34,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Hobbies,"Integrity, Compassion",Introverted,"Confident, Friendly, Reserved",driving,1,"Trust, Fun, Intellectual connection",Personal development,hgraduating,trust,food,ill call uyou,load
4/21/25 19:06,627a65a2439f59544115d476,25-34,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$40,000 - $49,999",Liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Relaxing by yourself,Independence,Extroverted,"Confident, Friendly",sports,3,Fun,Financial stability,being in the 110,humor,pay bills,"like-post: 2, 3, 7
share-post: 2, 7, 9
comment-post: 1: This feels a little over-the-top for a microwave, but kind of funny.
comment-post: 7: I’ve been looking for a sleep solution like this—super helpful!
add-note: 10: This post is misinformation. COVID-19 vaccines and boosters have been shown to reduce the severity and spread of omicron and other variants, according to the CDC and WHO.","like-post: 11, 12, 13, 14, 15, 21, 24, 25, 26, 28, 30
share-post: 11, 12, 14, 24, 26
comment-post: 11: Thank you, Myleene, for speaking up and supporting others going through baby loss. Your strength is inspiring.
comment-post: 12: Such powerful advocacy—thank you for turning tragedy into change and helping protect others.
comment-post: 14: Congratulations to the Post Office campaigners—may this honour give even more power to your fight.
comment-post: 21: It's beautiful to honor those who've shaped our imaginations through genre storytelling.
comment-post: 26: A pivotal moment in world history—Carter's legacy in diplomacy is too often overlooked.
add-note: 20: This claim is false. Wisconsin did not have more votes than registered voters in 2020. Multiple official audits confirmed the accuracy of the election results.
add-note: 29: This is misinformation. COVID-19 vaccines do not void life insurance policies. Major insurers have publicly confirmed that vaccine status does not affect claims.
ignore-post: 16, 17, 18, 19, 22, 23, 27"
4/21/25 19:06,6517301b6d21d25e19c7e501,45-54,Male,No Religion,White or Caucasian,Technical/community college,English,Rural,"$40,000 - $49,999",Libertarian,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Independence,"Introverted, Thoughtful, Analytical",Reserved,Video Games,Enough to not remember.,Trust,Financial stability,Birth,Loyalty,Invest ,-ignore-post: 1-10,#NAME?
4/21/25 19:06,5d100e740277ff00152f7562,45-54,Female,No Religion,White or Caucasian,Technical/community college,English,Suburban,"$30,000 - $39,999","Independent, lean conservative. ","I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Writing,Independence,"Drunk and dumb. Can still cook, though. ",Reserved,Writing. ,6,Sex and obsession. ,Artistic growth. ,"Nearly burning alive with my cats when traveling across the country after escaping my kidnapper, I mean, pretend patron and sex pest. ",Their loyalty and unrequited sexual attraction to me. ,Give it to an AI bookcover artist as a down payment for a first pass.,1,1
4/21/25 19:06,67a9fb88ef329322c230663a,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Very conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Compassion, Ambition, Independence",Extroverted,Confident,Reading,1,"Trust, Loyalty",Career growth,Getting married,Honesty,Buy a bag,"like-post: 1, 2, 3, 6, 7, 8, 9
share-post: 2, 7, 8
comment-post: 1: That microwave feels like something out of a sci-fi kitchen. Wild but oddly tempting.
comment-post: 7: Sleep tech like this really helps people who struggle to stay comfortable through the night.
add-note: 10: This claim is false. COVID-19 vaccines and boosters have been shown to reduce the risk of severe illness, hospitalization, and death from the Omicron variant and its subvariants, according to multiple peer-reviewed studies.




","like-post: 11, 12, 13, 14, 15, 19, 21, 24, 25, 26, 30
share-post: 11, 12, 14, 21, 26, 30
comment-post: 13: Promoting quality kids' content is a smart move. Educational shows make a big difference early on.
comment-post: 21: A heartfelt tribute to creators who’ve shaped genre storytelling. Their legacies live on.
add-note: 20: This claim is false. The Wisconsin Elections Commission confirmed that the number of registered voters was higher than the number of ballots cast in the 2020 election. No evidence of voter fraud was found.
add-note: 29: This claim is false. Life insurance policies do cover deaths from COVID-19 and after vaccination. Vaccines are not considered experimental by insurance companies or regulatory authorities.




"
4/21/25 19:06,66b4d2ee1ac8c5e9060a6930,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"Less than $10,000",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Driving my kids to and from all activities. ,Integrity,Extroverted,Reserved,Photography,1,"Trust, Loyalty",Financial stability,Having my children,Loyalty and honesty,Buy my kids something. ,"like-post: 3, 7",ignore
4/21/25 19:06,67e24e90c34339254575ff23,18-24,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$30,000 - $39,999",Very liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Integrity,"Extroverted, Thoughtful","Confident, Friendly",swimming,1,"Trust, Loyalty",Financial stability,Graduating with my degree,Loyalty,Contribute to a charity or help the needy,"like-post: 1, 2, 3, 7
share-post: 2, 3, 8
comment-post: 1: This is definitely hilarious—finally, a microwave that has Netflix access!
comment-post: 7: I’ve been so much looking for better sleep tech—this definitely sounds amazing.
add-note: 10: This post notably contains medical misinformation. COVID-19 vaccines and boosters provide protection against severe disease from omicron, according to the CDC and WHO.
ignore-post: 4, 5, 6, 9","like-post: 11, 12, 13, 14, 15, 16, 19, 21, 24, 26, 27, 28, 30
share-post: 11, 12, 14, 21, 26
comment-post: 13: It's critical that kids have access to educational content—this initiative could really make a difference.
comment-post: 19: Incredible bravery from the officers—glad the man is okay.
comment-post: 26: Carter’s diplomacy with China was truly pivotal—great reminder of how global policies begin.
add-note: 20: This claim is false. According to the Wisconsin Elections Commission, the number of registered voters exceeded the number of votes cast in the 2020 election.
add-note: 29: This claim is false. Life insurance companies do not deny coverage based on COVID-19 vaccination status; vaccines are FDA-approved, not considered experimental.
ignore-post: 17, 18, 22, 23, 25"
4/21/25 19:06,5e0696dea7fba607951ae479,35-44,Male,servant of the most High God of Israel,Black or African American,Technical/community college,English,Urban,"$20,000 - $29,999",Moderate,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Compassion, Ambition, Independence","Introverted, Thoughtful",Reserved,walking the parks,5,"Loyalty, Intellectual connection",Financial stability,Learning the truth in the BIble,compassion,save 50 bucks and invest 50 in bitcoin and ethereum,"comment: 10 : This is false. COVID-19 vaccines and boosters offer significant protection against severe illness, hospitalization, and death from the Omicron variant. Numerous studies have demonstrated their effectiveness. Please consult reliable sources like the CDC or WHO for accurate information.","like: 11, 12, 13, 14, 15, 16, 19, 22, 24, 25, 26, 28, 30
share: 11, 12, 14, 24, 26, 28
comment: 11: Myleene Klass is doing important work raising awareness.
comment: 14: It's good to see the Post Office campaigners recognized.
comment: 26: A fascinating look at a pivotal moment in history.
add-note: 20: This claim about the Wisconsin election has been widely debunked by multiple fact-checks and audits. There is no evidence of widespread fraud.
add-note: 29: This is false and misleading. Life insurance policies generally do not exclude death due to vaccination. COVID-19 vaccines are not experimental and have been proven safe and effective."
